,[tub],mu,sigma,scale e,shape,scale g
Value,6.0,0.47399064574770033,0.05990817675945612,4.134591270706243,1.5478774195295035,2.6727889222455037
SE,6.0,0.0025119697612116577,0.002051410625445368,0.2317213250060887,0.06975557410138425,0.1643562120689689
Value,8.0,0.41669089739542137,0.08171346827564906,8.184524205998306,1.8454498951303442,2.1101247739239555
SE,8.0,0.00480711378936014,0.003924992033030557,0.3527441328804134,0.07837221074668707,0.11813553795617127
Value,10.0,0.6648601997403343,0.11523168666923028,6.432409344327552,1.3561746812228754,4.767476214894433
SE,10.0,0.01097152296119324,0.008958211057107307,0.29303054341534823,0.0620257503911328,0.31822770375627013
Value,12.0,0.7723696953560774,0.15299622869444016,3.433737615677211,1.310483939627094,5.1478577012520645
SE,12.0,0.012354786635133858,0.010087641160929781,0.1667007157303485,0.07131688892985907,0.41363626989171953
Value,14.0,1.0341823704574045,0.20071993234713753,1.7741881431885493,1.264652843983611,7.570429257237408
SE,14.0,0.01783748600508584,0.01456424660707441,0.05950335582500981,0.0730863675773444,0.6727035244952941
Value,15.0,1.3199207433757039,0.2327646892111649,1.0063412629987079,1.369302465483048,6.484786863459511
SE,15.0,0.026352823775779546,0.021516990922976393,0.02768950125321412,0.1357920709990787,0.9596647339384604
